i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,158.637,0,23.2628,2.11236,0.700108,11.2941,4.16083,5.29026,8.56656,5.43046,0.210094,15.3431,7.64742,5.36907,5.60527,11.665,4.8006,5.39926,3.90529,4.26512,13.0111,0.762667,3.07658,0.00148515,10.4298,1.46071,2.53281,3.3491,6.72137,0.977407,5.41867,6.28894,2.84108
1,76.3527,223.013,2.17393,0,0,0,0,0.253997,3.6285,1.18629,0.648677,4.98605,6.85658,5.52733,1.10532,2.80019,3.82399,0.0367206,1.75454,5.4054,12.5779,1.38177,0,0.127307,3.79571,0.0235983,0.593194,1.24276,0.477767,1.23182,4.1272,9.52032,3.23977
2,165.122,0.230934,23.1241,2.60131,0.229807,10.0984,5.17851,1.82352,8.63761,6.36329,2.465,14.389,5.60351,4.70636,5.19346,15.4741,4.14579,5.65268,4.78086,2.18188,13.6348,0.99489,3.08444,0.00548773,9.80837,1.42245,3.05383,6.74595,5.97064,0.900591,6.50739,7.44626,6.02197
3,158.459,0.00084075,23.2988,2.11236,0.696807,11.1901,4.16083,5.32155,8.56656,5.4282,0.147591,15.3431,7.64742,5.37375,5.60527,11.665,5.0153,5.40514,3.90529,4.26448,13.0111,0.811417,3.07658,0.00148515,10.4298,1.44856,2.54079,3.3491,6.66619,0.977407,5.42006,6.28894,2.58882
4,55.9705,301.896,2.21096,0,0,0.0355443,0,0.449696,3.49164,0.637929,0.654703,4.43596,1.22524,3.1773,0.0148293,2.67638,3.79597,0,1.29845,0.704852,12.3014,1.14358,0.556162,0.132878,3.23234,0.201589,0.665246,0.83284,0.416823,0.391197,3.93751,8.76072,0.799746
5,93.9347,162.273,3.6917,0.398241,0.555191,6.6789,0,0.597521,4.34607,5.70083,1.87043,10.8089,0.101459,3.46065,0.995488,0.749904,0.50896,1.20383,1.68299,0.384467,13.8559,1.23778,1.21804,0,7.9322,3.5077,2.59837,0.832415,0.124085,0.160022,7.14778,12.1163,3.16034
6,88.8853,173.711,3.14302,2.31835,0.35465,1.96411,0.440166,3.0464,3.51333,3.39436,0.946301,6.90232,2.20864,4.11313,0.00846128,7.33097,3.94487,0.406277,1.72849,0.524139,12.4979,1.22466,1.72633,0.417335,3.56546,1.79301,0.0446022,3.6951,0.819357,0.296906,3.9582,12.0871,3.61432
7,153.73,6.81714,18.9942,0.914278,0.0634468,10.2494,3.889,6.43828,9.80193,4.98472,0.353898,13.8069,5.26934,2.72432,5.15198,11.722,4.43381,4.32022,6.40494,3.89429,13.2946,1.23756,0.0427977,0.0078901,10.6849,0.401504,1.95198,6.15985,7.26419,0.990797,4.753,6.75553,5.76234
8,56.3255,300.14,2.21096,0,0,0.0355443,0,0.449696,3.52875,0.674606,0.654703,4.47306,1.22524,3.26603,0.111791,2.67638,3.79209,0.0554898,1.27786,0.699131,12.3014,1.1412,0.556162,0.131077,3.23234,0.201589,0.665246,0.842823,0.416823,0.39574,3.93751,8.76072,0.822456
9,59.8081,285.322,2.23867,0.0525858,0,0.281465,0,0.452304,3.4742,0.620353,0.653965,4.27809,1.21402,3.18066,0.164581,3.0942,3.89272,0.175674,1.28132,0.724171,12.3583,1.18204,0.572255,0.134435,5.98995,0.201979,0.668957,0.852384,0.481144,0.3919,3.93531,9.22819,0.270923
10,106.119,124.732,4.68069,0.188722,0.763775,9.32378,1.20963,0.382187,4.76591,5.73336,1.69045,10.6458,0.304451,3.47321,1.27137,0.024022,0.866566,1.35046,4.25293,1.84999,17.5986,1.26685,1.03255,0,8.54959,3.54781,2.43477,0,0.48013,0.0764904,7.65982,12.4225,2.95282
11,61.3652,285.788,2.23776,0.0525858,0.00835216,0.169343,0,0.639686,2.74607,0.620353,0.655387,4.40947,1.24559,3.18066,0.164581,2.77658,3.89272,0.270594,1.28132,0.724171,12.3583,1.18247,0.572255,0.13814,5.90524,0.247477,0.54,0.852384,0.59785,0.34476,6.35164,9.16628,0.270923
12,135.393,34.5283,12.5705,1.04006,0.545167,8.74452,4.18158,1.87984,10.2546,5.22875,0.721897,11.4877,6.1725,6.3043,1.62411,11.4066,2.01768,2.7573,3.41061,1.14822,9.20939,1.13349,3.6477,4.75236e-05,11.6828,2.25617,3.85776,6.25442,2.95329,1.51995,4.82103,3.36891,5.76274
13,116.352,87.0302,7.10274,2.02578,2.62317,7.3202,2.57255,1.61299,7.94128,6.29108,2.26199,6.25079,2.08484,1.91323,3.12112,7.77731,4.71575,2.12747,1.57188,0.428259,10.6156,1.17672,3.25187,0.324001,7.41858,0.367621,0.00142674,4.74512,0.156156,1.47676,6.36522,14.5034,3.31024
14,62.7176,274.94,2.26061,0.0134334,0,0.402261,0.273713,0.427153,3.77382,1.53549,0.718644,4.09752,1.51413,3.90181,0.198641,2.8666,3.80968,0.580121,1.70837,0.727518,12.3473,1.03647,0.647925,0.12552,4.32721,0.406241,0.644278,0.901884,0.681687,0.320919,4.07028,7.2001,3.45884
